Product Name,Price,Link
"barenbliss Dream Chaser Quad Eyeshadow Palette
  




      Color","Rp 69.000,00",/collections/makeup/products/copy-of-barenbliss-full-bloom-transferproof-matte-tint
"Barenbliss Bloomatte Stay Confident 2-in-1 Foundation
  




      Color","Rp 69.000,00",/collections/makeup/products/copy-of-berry-makes-comfort-lip-matte-1
"barenbliss Apple Makes Adorable Mousse Tint
  




      Color","Rp 69.000,00",/collections/makeup/products/copy-of-berry-makes-comfort-lip-matte
"Barenbliss Set N Slick Lasting Browcara
  




      Color","Rp 79.000,00",/collections/makeup/products/copy-of-make-me-classy-eyebrow
Cherry Makes Cheerful Lip Velvet,"Rp 69.000,00",/collections/makeup/products/cherry-makes-cheerful-lip-velvet
"barenbliss Like A Pro! Shockproof Durabrow Pomade
  




      Color","Rp 69.000,00",/collections/makeup/products/barenbliss-like-a-pro-shockproof-durabrow-pomade
"barenbliss Kiwi Tin Tint Lip & Cheek
  




      Color","Rp 69.000,00",/collections/makeup/products/barenbliss-kiwi-tin-tint-lip-cheek
"Start-Over Concealer
  




      Color","Rp 89.000,00",/collections/makeup/products/start-over-concealer
"Spark-Tacular Party Blush
  




      Color","Rp 75.000,00",/collections/makeup/products/makeup-blush-spark-tacular-party-blush
"Soul-Matte Loose Powder
  




      Color","Rp 99.000,00",/collections/makeup/products/makeup-powder-soul-matte-loose-powder
"Peach Makes Perfect Lip Tint
  




      Color","Rp 69.000,00",/collections/makeup/products/makeup-liptint-peach-makes-perfect-lip-tint
"Make Me Classy Eyebrow
  




      Color","Rp 49.000,00",/collections/makeup/products/makeup-eyebrows-make-me-classy-eyebrow
"Highlight! Rich Girl in Area
  




      Color","Rp 79.000,00",/collections/makeup/products/makeup-face-highlighter-highlight-rich-girl-in-area
"Fortune Cookie Eyeshadow
  




      Color","Rp 69.000,00",/collections/makeup/products/makeup-eyes-eyeshadow-fortune-cookie-eyeshadow
"Berry Makes Comfort Lip Matte
  




      Color","Rp 69.000,00",/collections/makeup/products/makeup-lips-lipcream-berry-makes-comfort-lip-matte
"Better Than Magic Eyeliner
  




      Color","Rp 45.000,00",/collections/makeup/products/makeup-eyeliner-better-than-magic-eyeliner
